t;T_B;V_A;V_B
535;46.8344;1.42438;2.32503
536;46.8151;1.41974;2.32442
537;46.7958;1.41511;2.32381
538;46.7764;1.41048;2.32319
539;46.757;1.40587;2.32256
540;46.7375;1.40126;2.32193
541;46.718;1.39665;2.3213
542;46.6985;1.39206;2.32066
543;46.6789;1.38747;2.32001
544;46.6593;1.38289;2.31936
545;46.6396;1.37832;2.3187
546;46.6199;1.37375;2.31804
547;46.6002;1.3692;2.31737
548;46.5804;1.36465;2.3167
549;46.5606;1.36011;2.31602
550;46.5408;1.35557;2.31533
551;46.5209;1.35104;2.31465
552;46.5009;1.34653;2.31395
553;46.481;1.34201;2.31325
554;46.461;1.33751;2.31255
555;46.4409;1.33301;2.31183
556;46.4208;1.32852;2.31112
557;46.4007;1.32404;2.3104
558;46.3805;1.31957;2.30967
559;46.3603;1.3151;2.30894
560;46.3401;1.31064;2.3082
561;46.3198;1.30619;2.30746
562;46.2995;1.30175;2.30672
563;46.2791;1.29731;2.30596
564;46.2587;1.29289;2.30521
565;46.2382;1.28846;2.30444
566;46.2178;1.28405;2.30368
567;46.1972;1.27965;2.30291
568;46.1767;1.27525;2.30213
569;46.1561;1.27086;2.30135
570;46.1355;1.26647;2.30056
571;46.1148;1.2621;2.29977
572;46.0941;1.25773;2.29897
573;46.0733;1.25337;2.29817
574;46.0525;1.24902;2.29736
575;46.0317;1.24467;2.29655
576;46.0108;1.24033;2.29573
577;45.9899;1.236;2.29491
578;45.969;1.23168;2.29408
579;45.948;1.22737;2.29325
580;45.927;1.22306;2.29242
581;45.9059;1.21876;2.29158
582;45.8848;1.21447;2.29073
583;45.8637;1.21018;2.28988
584;45.8425;1.20591;2.28902
585;45.8213;1.20164;2.28816
586;45.8;1.19737;2.2873
587;45.7787;1.19312;2.28643
588;45.7574;1.18887;2.28556
589;45.736;1.18463;2.28468
590;45.7146;1.1804;2.28379
591;45.6932;1.17618;2.28291
592;45.6717;1.17196;2.28201
593;45.6502;1.16775;2.28112
594;45.6286;1.16355;2.28021
595;45.607;1.15936;2.27931
596;45.5854;1.15517;2.2784
597;45.5637;1.15099;2.27748
598;45.542;1.14682;2.27656
599;45.5202;1.14266;2.27564
600;45.4984;1.1385;2.27471
601;45.4766;1.13435;2.27377
602;45.4548;1.13021;2.27284
603;45.4329;1.12608;2.27189
604;45.4109;1.12195;2.27095
605;45.3889;1.11783;2.27
606;45.3669;1.11372;2.26904
607;45.3449;1.10962;2.26808
608;45.3228;1.10552;2.26711
609;45.3007;1.10144;2.26615
610;45.2785;1.09736;2.26517
